NL,67,3,6,1,0,0,2,0,0,0,24,0,0,17,0,0
NL,22,0,3,0,0,0,1,0,0,0,7,0,0,1,0,0
AL,97,5,17,4,0,1,7,0,3,9,25,1,0,3,0,0
AL,207,25,46,6,2,4,19,4,0,17,27,0,0,0,0,0
AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,67,12,15,1,0,1,4,3,1,6,16,0,0,0,2,1
NL,6,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0
NL,17,1,4,1,0,1,1,0,0,2,2,0,0,0,0,3
AL,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AL,515,75,139,20,0,33,85,2,3,37,169,6,7,0,3,8
NL,519,66,118,26,0,32,90,0,2,61,141,3,1,0,3,10
AL,447,64,115,24,3,8,43,46,13,29,102,3,6,1,4,8
