agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-Learning,1,55,-3311.0,-0.04716981132075472,8967.0,106.0
Q-Learning,1,56,-3242.0,2.15625,8999.0,32.0
Q-Learning,1,57,-3255.0,-0.11403508771929824,9113.0,114.0
Q-Learning,1,58,-3264.0,-0.08181818181818182,9223.0,110.0
Q-Learning,1,59,-3219.0,0.8035714285714286,9279.0,56.0
Q-Learning,1,60,-3163.0,1.2444444444444445,9324.0,45.0
Q-Learning,1,61,-3108.0,1.1956521739130435,9370.0,46.0
Q-Learning,1,62,-3079.0,0.4027777777777778,9442.0,72.0
Q-Learning,1,63,-3089.0,-0.09009009009009009,9553.0,111.0
Q-Learning,1,64,-3149.0,-0.37267080745341613,9714.0,161.0
Q-Learning,1,65,-3090.0,1.4047619047619047,9756.0,42.0
Q-Learning,1,66,-3039.0,1.02,9806.0,50.0
Q-Learning,1,67,-3000.0,0.6290322580645161,9868.0,62.0
Q-Learning,1,68,-2983.0,0.20238095238095238,9952.0,84.0
Q-Learning,1,69,-2919.0,1.7297297297297298,9989.0,37.0
Q-Learning,1,70,-3030.0,-0.5235849056603774,10201.0,212.0
Q-Learning,1,71,-3063.0,-0.2462686567164179,10335.0,134.0
Q-Learning,1,72,-3089.0,-0.2047244094488189,10462.0,127.0
Q-Learning,1,73,-3030.0,1.4047619047619047,10504.0,42.0
Q-Learning,1,74,-3124.0,-0.48205128205128206,10699.0,195.0
Q-Learning,1,75,-3171.0,-0.31756756756756754,10847.0,148.0
Q-Learning,1,76,-3153.0,0.21686746987951808,10930.0,83.0
Q-Learning,1,77,-3158.0,-0.04716981132075472,11036.0,106.0
Q-Learning,1,78,-3206.0,-0.3221476510067114,11185.0,149.0
Q-Learning,1,79,-3152.0,1.148936170212766,11232.0,47.0
Q-Learning,1,80,-3084.0,2.0606060606060606,11265.0,33.0
Q-Learning,1,81,-3012.0,2.4827586206896552,11294.0,29.0
Q-Learning,1,82,-2935.0,3.2083333333333335,11318.0,24.0
Q-Learning,1,83,-2890.0,0.8035714285714286,11374.0,56.0
Q-Learning,1,84,-2822.0,2.0606060606060606,11407.0,33.0
Q-Learning,1,85,-2770.0,1.0612244897959184,11456.0,49.0
Q-Learning,1,86,-2771.0,-0.00980392156862745,11558.0,102.0
Q-Learning,1,87,-2713.0,1.3488372093023255,11601.0,43.0
Q-Learning,1,88,-2668.0,0.8035714285714286,11657.0,56.0
Q-Learning,1,89,-2606.0,1.5897435897435896,11696.0,39.0
Q-Learning,1,90,-2565.0,0.6833333333333333,11756.0,60.0
Q-Learning,1,91,-2506.0,1.4047619047619047,11798.0,42.0
Q-Learning,1,92,-2445.0,1.525,11838.0,40.0
Q-Learning,1,93,-2413.0,0.463768115942029,11907.0,69.0
Q-Learning,1,94,-2374.0,0.6290322580645161,11969.0,62.0
Q-Learning,1,95,-2367.0,0.07446808510638298,12063.0,94.0
Q-Learning,1,96,-2294.0,2.607142857142857,12091.0,28.0
Q-Learning,1,97,-2331.0,-0.26811594202898553,12229.0,138.0
Q-Learning,1,98,-2277.0,1.148936170212766,12276.0,47.0
Q-Learning,1,99,-2228.0,0.9423076923076923,12328.0,52.0
